ma_bds,dien_tich_su_dung_m2,gia(ty),title,phap_ly,ngay_dang,phuong_xa,quan_huyen,thanh_pho,nha_tam,phong_ngu,dien_tich_dat_m2,chieu_dai_m,chieu_rong_m,loai_hinh
22704847,126.0,5.1,"Bán Nhà hẻm, ngõ Đông Dư Thượng",Sổ đỏ,2025-10-24,Đông Dư Thượng,None,Hà Nội,4,3,32.0,8.0,4.0,nha
22706467,500.0,36.0,"Bán Biệt thự, liền kề Khu đô thị Mễ Trì Thượng",Sổ đỏ,2025-10-24,Đại lộ Thăng Long - Phường Mễ Trì,Nam Từ Liêm,Hà Nội,4,6,130.0,22.0,6.0,mat_bang
22415248,1030.0,49.9,"Bán Nhà mặt tiền, phố Thái Hà",Sổ hồng,2025-10-24,Thái Hà - Phường Láng Hạ,Đống Đa,Hà Nội,8,8,131.0,23.0,5.7,nha
22655937,44.0,7.5,"Bán Nhà mặt tiền, phố Nguyễn Văn Trỗi",Sổ đỏ,2025-10-24,Nguyễn Văn Trỗi - Phường Phương Liệt,Thanh Xuân,Hà Nội,3,4,44.0,14.0,3.5,nha
22706348,140.0,52.0,"Bán Nhà mặt tiền, phố An Hòa",Sổ đỏ,2025-10-24,An Hòa - Phường Mộ Lao,Hà Đông,Hà Nội,45,42,140.0,15.0,7.0,nha
22704980,420.0,19.5,"Bán Nhà mặt tiền, phố Phố Trạm",Sổ đỏ,2025-10-24,Phố Trạm - Phường Long Biên,Long Biên,Hà Nội,7,5,60.0,15.0,4.0,nha
22415245,325.0,15.9,"Bán Nhà mặt tiền, phố Thái Hà",Sổ đỏ,2025-10-24,Thái Hà - Phường Láng Hạ,Đống Đa,Hà Nội,5,4,65.0,9.9,6.6,nha
22655836,46.0,9.3,"Bán Nhà mặt tiền, phố Phương Liệt",Sổ đỏ,2025-10-24,Phương Liệt - Phường Phương Liệt,Thanh Xuân,Hà Nội,4,3,46.0,12.0,4.2,nha
22706918,420.0,29.999,Bán Đất thổ cư Phùng Khoang,Sổ đỏ,2025-10-24,Phùng Khoang - Phường Trung Văn,Nam Từ Liêm,Hà Nội,8,8,420.0,28.0,15.0,dat
22705075,122.0,19.5,"Bán Nhà mặt tiền, phố Nguyễn Mậu Tài",Sổ đỏ,2025-10-24,Nguyễn Mậu Tài,None,Hà Nội,1,2,122.0,19.5,6.4,nha
22682207,55.0,7.0,Bán Đất thổ cư Bằng Liệt,Sổ đỏ,2025-10-24,Bằng Liệt - Phường Hoàng Liệt,Hoàng Mai,Hà Nội,4,5,51.0,15.0,3.6,dat
22648122,41.0,7.75,"Bán Nhà mặt tiền, phố Khương Đình",Sổ đỏ,2025-10-24,Khương Đình - Phường Hạ Đình,Thanh Xuân,Hà Nội,4,5,41.0,11.0,4.0,nha
22415247,131.0,49.9,"Bán Nhà mặt tiền, phố Thái Hà",Sổ đỏ,2025-10-24,Thái Hà - Phường Trung Liệt,Đống Đa,Hà Nội,8,8,131.0,23.0,5.7,nha
22708339,50.0,14.199,"Bán Nhà hẻm, ngõ Phạm Văn Đồng",Sổ đỏ,2025-10-24,Phạm Văn Đồng - Phường Cổ Nhuế 2,Bắc Từ Liêm,Hà Nội,4,5,50.0,10.0,5.0,nha
22705176,61.0,4.75,Bán Đất thổ cư Quốc Lộ 5B,Sổ đỏ,2025-10-24,Quốc Lộ 5B,None,Hà Nội,4,5,61.0,10.2,6.0,dat
22415243,1620.0,60.0,"Bán Nhà mặt tiền, phố Dương Khuê",Sổ đỏ,2025-10-24,Dương Khuê - Phường Mai Dịch,Cầu Giấy,Hà Nội,23,20,180.0,18.0,10.0,nha
22648452,80.0,7.8,"Bán Nhà hẻm, ngõ Khương Hạ",Sổ đỏ,2025-10-24,Khương Hạ - Phường Khương Đình,Thanh Xuân,Hà Nội,3,4,80.0,15.0,6.0,nha
22708471,65.0,15.5,"Bán Nhà hẻm, ngõ Xuân Đỉnh",Sổ đỏ,2025-10-24,Xuân Đỉnh - Phường Xuân Đỉnh,Bắc Từ Liêm,Hà Nội,4,5,65.0,8.0,8.0,nha
22705214,44.0,4.45,Bán Đất thổ cư Đa Tốn,Sổ đỏ,2025-10-24,Đa Tốn,None,Hà Nội,4,4,44.0,9.0,5.0,dat
22415242,855.0,19.5,"Bán Nhà mặt tiền, phố Cầu Giấy",Sổ đỏ,2025-10-24,Cầu Giấy - Phường Quan Hoa,Cầu Giấy,Hà Nội,21,20,95.0,17.3,5.5,nha
22647288,42.0,6.75,"Bán Nhà mặt tiền, phố Khương Trung",Sổ đỏ,2025-10-24,Khương Trung - Phường Khương Trung,Thanh Xuân,Hà Nội,3,3,42.0,14.0,3.5,nha
22710315,185.0,138.999,"Bán Nhà mặt tiền, phố Hàng Bông",Sổ đỏ,2025-10-24,Hàng Bông - Phường Hàng Bông,Hoàn Kiếm,Hà Nội,8,8,185.0,23.0,8.0,nha
22699700,290.0,23.8,"Bán Nhà mặt tiền, phố Thúy Lĩnh",Sổ đỏ,2025-10-24,Thúy Lĩnh - Phường Lĩnh Nam,Hoàng Mai,Hà Nội,2,3,145.0,27.0,5.4,nha
22296689,80.0,24.0,"Bán Nhà mặt tiền, phố Vĩnh Phúc",Sổ đỏ,2025-10-24,Vĩnh Phúc - Phường Vĩnh Phúc,Ba Đình,Hà Nội,7,5,80.0,16.0,5.0,nha
22647139,40.0,9.9,"Bán Nhà mặt tiền, phố Vũ Tông Phan",Sổ đỏ,2025-10-24,Vũ Tông Phan - Phường Khương Đình,Thanh Xuân,Hà Nội,3,4,40.0,10.0,4.0,nha
22710441,155.0,104.999,"Bán Nhà mặt tiền, phố Trần Khát Chân",Sổ đỏ,2025-10-24,Trần Khát Chân - Phường Phố Huế,Hai Bà Trưng,Hà Nội,6,6,155.0,19.0,8.0,nha
22700381,450.0,10.9,"Bán Nhà hẻm, ngõ Bát Khối",Sổ đỏ,2025-10-24,Bát Khối - Phường Cự Khối,Long Biên,Hà Nội,12,12,55.0,11.5,3.5,nha
22646138,50.0,8.4,"Bán Nhà mặt tiền, phố Phương Liệt",Sổ đỏ,2025-10-24,Phương Liệt - Phường Phương Liệt,Thanh Xuân,Hà Nội,4,6,50.0,15.0,4.0,nha
22701718,720.0,18.6,"Bán Nhà hẻm, ngõ An Đào D",Sổ đỏ,2025-10-24,An Đào D,None,Hà Nội,25,25,120.0,20.0,6.0,nha
22645994,44.0,12.5,"Bán Nhà mặt tiền, phố Lê Trọng Tấn",Sổ đỏ,2025-10-24,Lê Trọng Tấn - Phường Khương Mai,Thanh Xuân,Hà Nội,4,4,44.0,4.0,4.0,nha
21820671,70.0,23.8,"Bán Nhà mặt tiền, phố Vạn Bảo",Sổ đỏ,2025-10-24,Vạn Bảo - Phường Kim Mã,Ba Đình,Hà Nội,5,4,70.0,13.0,5.4,nha
22702060,50.0,4.75,"Bán Nhà hẻm, ngõ Bát Khối",Sổ đỏ,2025-10-24,Bát Khối,None,Hà Nội,1,2,50.0,10.0,5.0,nha
22645957,38.0,5.6,"Bán Nhà mặt tiền, phố Đại Từ",Sổ đỏ,2025-10-24,Đại Từ - Phường Đại Kim,Hoàng Mai,Hà Nội,3,4,38.0,13.0,3.5,nha
22703360,59.0,8.2,"Bán Nhà hẻm, ngõ Ngô Xuân Quảng",Sổ đỏ,2025-10-24,Ngô Xuân Quảng,None,Hà Nội,1,2,59.0,8.0,7.5,nha
