ma_bds,dien_tich_su_dung_m2,gia(ty),phap_ly,ngay_dang,phuong_xa,quan_huyen,thanh_pho,nha_tam,phong_ngu,dien_tich_dat_m2,gia_per_m2
22700155,238.0,8.55,Sổ đỏ,2025-08-08,Nguyễn Văn Linh - Phường Thạch Bàn,Long Biên,Hà Nội,4,3,40.0,35.924369747899156
22701037,330.0,11.5,Sổ đỏ,2025-08-08,Ngọc Lâm - Phường Ngọc Lâm,Long Biên,Hà Nội,6,6,55.0,34.84848484848485
22701516,240.0,8.9,Sổ đỏ,2025-08-08,Trường Lâm - Phường Việt Hưng,Long Biên,Hà Nội,4,5,40.0,37.083333333333336
22702045,238.0,11.5,Sổ đỏ,2025-08-08,Ngọc Thụy - Phường Ngọc Thụy,Long Biên,Hà Nội,4,5,40.0,48.319327731092436
22701920,40.0,5.0,Sổ đỏ,2025-08-08,Thạch Bàn - Phường Thạch Bàn,Long Biên,Hà Nội,3,2,40.0,125.0
22701921,180.0,6.2,Sổ đỏ,2025-08-08,Tôn Đức Thắng - Phường Hàng Bột,Đống Đa,Hà Nội,7,4,38.0,34.44444444444444
22701922,,6.2,Sổ đỏ,2025-08-08,Tôn Đức Thắng - Phường Hàng Bột,Đống Đa,Hà Nội,7,5,38.0,
22701843,100.0,6.0,Sổ đỏ,2025-08-07,Trần Thủ Độ,None,Hà Nội,3,2,,60.0
22701705,,22.2,Sổ đỏ,2025-08-06,Giáp Nhất - Phường Nhân Chính,Thanh Xuân,Hà Nội,3,2,120.0,
22701288,40.0,8.9,Sổ hồng,2025-08-05,Thịnh Liệt - Phường Thịnh Liệt,Hoàng Mai,Hà Nội,4,4,40.0,222.5
22701294,45.0,12.3,Sổ hồng,2025-08-05,Thịnh Liệt - Phường Thịnh Liệt,Hoàng Mai,Hà Nội,6,4,45.0,273.3333333333333
22701428,38.0,8.35,Sổ đỏ,2025-08-05,Trần Phú - Phường Văn Quán,Hà Đông,Hà Nội,3,4,35.0,219.73684210526315
22701157,42.0,5.6,Sổ hồng,2025-08-04,Trần Quý Cáp - Phường Văn Miếu,Đống Đa,Hà Nội,8,6,52.0,133.33333333333334
22700872,281.0,171.0,Sổ đỏ,2025-08-02,Lò Đúc - Phường Đống Mác,Hai Bà Trưng,Hà Nội,67,,281.0,608.540925266904
22700866,74.0,68.0,Sổ đỏ,2025-08-02,Bà Triệu - Phường Lê Đại Hành,Hai Bà Trưng,Hà Nội,4,6,74.0,918.918918918919
22700682,62.0,36.8,Sổ đỏ,2025-08-01,Lê Thanh Nghị - Phường Bách Khoa,Hai Bà Trưng,Hà Nội,4,5,62.0,593.5483870967741
22700423,50.0,12.9,Sổ đỏ,2025-07-31,Quang Trung - Phường Phú La,Hà Đông,Hà Nội,6,6,50.0,258.0
22700422,48.0,12.6,Sổ đỏ,2025-07-31,Quang Trung - Phường Phú La,Hà Đông,Hà Nội,6,6,48.0,262.5
22700587,50.0,8.3,Sổ đỏ,2025-07-31,Trương Định - Phường Thịnh Liệt,Hoàng Mai,Hà Nội,4,3,50.0,166.0
22700499,50.0,12.8,Sổ đỏ,2025-07-31,Quang Trung - Phường Phú La,Hà Đông,Hà Nội,8,8,50.0,256.0
22700470,80.0,2.0,Sổ hồng,2025-07-31,Cầu Bươu,None,Hà Nội,2,1,80.0,25.0
22700542,54.0,13.0,Sổ đỏ,2025-07-31,Lê Trọng Tấn - Phường La Khê,Hà Đông,Hà Nội,6,6,54.0,240.74074074074073
22700583,113.0,13.2,Sổ đỏ,2025-07-31,Trương Định - Phường Trương Định,Hai Bà Trưng,Hà Nội,16,16,113.0,116.8141592920354
22700579,50.0,13.0,Sổ đỏ,2025-07-31,Lê Trọng Tấn - Phường La Khê,Hà Đông,Hà Nội,6,6,50.0,260.0
22700266,50.0,12.6,Sổ đỏ,2025-07-30,Quang Trung - Phường La Khê,Hà Đông,Hà Nội,6,6,50.0,252.0
22700280,37.0,6.93,Sổ đỏ,2025-07-30,Giải Phóng - Phường Phương Liệt,Thanh Xuân,Hà Nội,4,4,37.0,187.2972972972973
22700311,41.0,7.7,Sổ đỏ,2025-07-30,Trương Định - Phường Thịnh Liệt,Hoàng Mai,Hà Nội,4,4,41.0,187.8048780487805
22700380,50.0,12.8,Sổ đỏ,2025-07-30,Văn Khê - Phường Phú La,Hà Đông,Hà Nội,8,8,50.0,256.0
22700112,50.0,10.5,Sổ đỏ,2025-07-29,Mạc Thị Bưởi - Phường Vĩnh Tuy,Hai Bà Trưng,Hà Nội,3,3,50.0,210.0
22700105,40.0,9.6,Sổ đỏ,2025-07-29,Kim Ngưu - Phường Vĩnh Tuy,Hai Bà Trưng,Hà Nội,4,3,40.0,240.0
22700033,42.0,9.8,Sổ đỏ,2025-07-29,Hoàng Hoa Thám - Phường Vĩnh Phúc,Ba Đình,Hà Nội,4,3,46.0,233.33333333333334
22700118,100.0,27.5,Sổ đỏ,2025-07-29,Trương Định - Phường Thịnh Liệt,Hoàng Mai,Hà Nội,28,28,100.0,275.0
22699892,205.0,11.5,Sổ đỏ,2025-07-28,Bờ Sông Sét - Phường Thịnh Liệt,Hoàng Mai,Hà Nội,5,4,41.0,56.09756097560975
22699958,,25.9,Sổ đỏ,2025-07-28,Đại lộ Thăng Long,None,Hà Nội,4,4,370.0,
22699894,35.0,9.0,Sổ đỏ,2025-07-28,Đại Từ - Phường Đại Kim,Hoàng Mai,Hà Nội,3,4,35.0,257.14285714285717
22699803,75.0,15.4,Sổ đỏ,2025-07-27,Phố Quan Nhân - Phường Nhân Chính,Thanh Xuân,Hà Nội,4,3,75.0,205.33333333333334
22699801,75.0,18.8,Sổ đỏ,2025-07-27,Giáp Nhất - Phường Nhân Chính,Thanh Xuân,Hà Nội,8,6,75.0,250.66666666666666
22699800,70.0,13.9,Sổ hồng,2025-07-27,Phố Tứ Liên - Phường Tứ Liên,Tây Hồ,Hà Nội,4,5,70.0,198.57142857142858
22699683,36.0,1.7,Hợp đồng mua bán,2025-07-26,Tam Trinh - Phường Yên Sở,Hoàng Mai,Hà Nội,2,1,36.0,47.22222222222222
22699710,87.0,8.5,Sổ đỏ,2025-07-26,Trần Hưng Đạo - Phường Trần Hưng Đạo,Hoàn Kiếm,Hà Nội,2,2,58.0,97.70114942528735
22699646,40.0,12.9,Sổ đỏ,2025-07-26,Bùi Xương Trạch - Phường Khương Đình,Thanh Xuân,Hà Nội,4,3,40.0,322.5
22697495,50.0,13.5,Không xác định,2025-07-25,Quang Trung - Phường Phú La,Hà Đông,Hà Nội,6,6,50.0,270.0
22697493,50.0,14.0,Sổ đỏ,2025-07-25,Quang Trung - Phường Phú La,Hà Đông,Hà Nội,8,8,50.0,280.0
22697490,57.0,14.5,Không xác định,2025-07-25,Quang Trung - Phường Phú La,Hà Đông,Hà Nội,8,8,57.0,254.3859649122807
22697486,52.0,14.2,Sổ đỏ,2025-07-25,Quang Trung - Phường Phú La,Hà Đông,Hà Nội,8,8,52.0,273.0769230769231
22697477,50.0,13.9,Sổ đỏ,2025-07-25,Quang Trung - Phường Phú La,Hà Đông,Hà Nội,5,5,50.0,278.0
22697463,50.0,12.9,Sổ đỏ,2025-07-25,Lê Trọng Tấn - Phường La Khê,Hà Đông,Hà Nội,8,8,50.0,258.0
22697446,57.0,13.0,Sổ đỏ,2025-07-25,Lê Trọng Tấn - Phường La Khê,Hà Đông,Hà Nội,8,8,57.0,228.0701754385965
22697441,50.0,13.8,Sổ đỏ,2025-07-25,Lê Trọng Tấn - Phường La Khê,Hà Đông,Hà Nội,8,8,50.0,276.0
22697518,50.0,14.2,Sổ đỏ,2025-07-25,Quang Trung - Phường Phú La,Hà Đông,Hà Nội,6,6,50.0,284.0
22697520,47.0,13.4,Sổ đỏ,2025-07-25,Quang Trung - Phường Quang Trung,Hà Đông,Hà Nội,8,8,47.0,285.1063829787234
